course,isbn1,publisher1,author1,year1,title1,type1a,buyrent1a,option1a,price1a,type1b,buyrent1b,option1b,price1b,type1c,buyrent1c,option1c,price1c,type1d,buyrent1d,option1d,price1d,type1e,buyrent1e,option1e,price1e,title2,type2a,buyrent2a,option2a,price2a,type2b,buyrent2b,option2b,price2b,type2c,buyrent2c,option2c,price2c,type2d,buyrent2d,option2d,price2d,type2e,buyrent2e,option2e,price2e,title3,type3a,buyrent3a,option3a,price3a,type3b,buyrent3b,option3b,price3b,type3c,buyrent3c,option3c,price3c,type3d,buyrent3d,option3d,price3d,type3e,buyrent3e,option3e,price3e
94645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94588,9780325009193, Heinemann, Mason ,2007,"Creating Life on Stage
		            	",PAPERBACK,BUY,NEW,$23.25 ,PAPERBACK,BUY,USED,$17.50 ,PAPERBACK,RENT,NEW,$17.44 ,PAPERBACK,RENT,USED,$9.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94589,9780878301171, Routledge, Johnstone ,1981,"Impro
		            	",PAPERBACK,BUY,NEW,$40.95 ,PAPERBACK,BUY,USED,$30.75 ,PAPERBACK,RENT,NEW,$30.71 ,PAPERBACK,RENT,USED,$16.38 ,Digital,BUY,,$40.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94593,9780393921526," W. W. Norton & Company, Incorporated", Gainor ,2014,"Norton Anthology of Drama (V2)
		            	",PAPERBACK,BUY,NEW,$83.00 ,PAPERBACK,BUY,USED,$62.25 ,PAPERBACK,RENT,NEW,$45.65 ,PAPERBACK,RENT,USED,$33.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94587,9780573627521," Samuel French, Incorporated", Frayn ,2000,"Copenhagen
		            	",,BUY,NEW,$9.95 ,,BUY,USED,$7.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94543,9780070159143, McGraw-Hill, Anderson ,1998,"Surveying
		            	",,BUY,NEW,$333.75 ,,BUY,USED,$250.50 ,,RENT,USED,$133.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94547,9780470464915," John Wiley & Sons, Incorporated", Ghilani ,2010,"Adjustment Computations
		            	",Hardcover,BUY,NEW,$201.25 ,Hardcover,BUY,USED,$151.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94546,9780071761123, McGraw-Hill, Wolf ,2013,"Elements of Photogrammetry
		            	",Hardcover,BUY,NEW,$162.00 ,Hardcover,BUY,USED,$121.50 ,Hardcover,RENT,NEW,$121.50 ,Hardcover,RENT,USED,$64.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
