newprice2,isbn3,newprice1,title1,author3,usedprice2,usedprice3,course,title2,title3,isbn1,author1,author2,isbn2,usedprice1,newprice3
,,,,,,,All : 2016 Fall : Course ID 94643,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94644,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94645,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94646,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94647,,,,,,,,
,,,,,,,All : 2016 Fall : THTR : 101 : 001 : Course ID 94587,,,,,,,,
,,,Copenhagen,,,,,,,,,,,,
,,,Copenhagen,,,,,,,,,,,,
,,,,,,,,,,,Frayn,,,,
,,,,,,,,,,9780573627521,,,,,
,,$9.95,,,,,,,,,,,,,
,,,,,,,,,,,,,,$7.50,
,,,,,,,,,,,,Frayn,,,
,,,,,,,,,,,,,9780573627521,,
,,,,Frayn,,,,,,,,,,,
,9780573627521,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : THTR : 220 : 001 : Course ID 94590,,,,,,,,
,,,,,,,All : 2016 Fall : THTR : 220 : 003 : Course ID 94591,,,,,,,,
,,,,,,,All : 2016 Fall : THTR : 220 : 005 : Course ID 94592,,,,,,,,
,,,,,,,All : 2016 Fall : THTR : 216 : 001 : Course ID 94589,,,,,,,,
,,,Impro,,,,,,,,,,,,
,,,Impro,,,,,,,,,,,,
,,,,,,,,,,,Johnstone,,,,
,,,,,,,,,,9780878301171,,,,,
,,$40.95,,,,,,,,,,,,,
,,,,,,,,,,,,,,$30.75,
,,,,,,,,,,,,Johnstone,,,
,,,,,,,,,,,,,9780878301171,,
,,,,Johnstone,,,,,,,,,,,
,9780878301171,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : THTR : 315 : 001 : Course ID 94593,,,,,,,,
,,,Norton Anthology of Drama (V2),,,,,,,,,,,,
,,,Norton Anthology of Drama (V2),,,,,,,,,,,,
,,,,,,,,,,,Gainor,,,,
,,,,,,,,,,9780393921526,,,,,
