publisher2,buyrent3b,publisher1,buyrent1c,option3d,buyrent3d,type3b,course,option3e,author1,author2,option2a,option3b,option2c,option2b,option2e,option2d,option3c,buyrent2b,buyrent2c,buyrent2a,type2d,type2e,buyrent2d,buyrent2e,price1c,price1b,price1a,isbn1,price1e,isbn2,price3e,price3d,price3a,price3c,price3b,option1a,option1b,option1c,option1d,option1e,option3a,type2c,price1d,tyep2b,year1,year2,title1,title2,title3,type1c,buyrent3a,type1d,buyrent1e,buyrent1d,buyrent3e,buyrent1b,buyrent1a,type1b,type1e,type3e,type3d,type3c,type1a,type3a,type2a,price2b,price2c,price2a,buyrent3c,price2d,price2e
,,,,,,,,,Meyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : TRAN : 755 : 101 : Course ID 94616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
